IDADE,OC_IDADE,P_IDADE,IDENT,OC_IDENT,P_IDENT,SEX,OC_SEX,P_SEX,BARBA_IMAGEM,OC_BARBA_IMAGEM,P_BARBA_IMAGEM,FILME,OC_FILME,P_FILME,MUSICA,OC_MUSICA,P_MUSICA,CHORAR,OC_CHORAR,P_CHORAR,CHURRAS,OC_CHURRAS,P_CHURRAS,HOM_VERDADE,OC_HOM_VERDADE,P_HOM_VERDADE,BANHO,OC_BANHO,P_BANHO,APARENCIA,OC_APARENCIA,P_APARENCIA,CREME,OC_CREME,P_CREME,HOM_VAIDOSO,OC_HOM_VAIDOSO,P_HOM_VAIDOSO,PERG_VAIDOSO,OC_PERG_VAIDOSO,P_PERG_VAIDOSO,FAZ_BARBA,OC_FAZ_BARBA,P_FAZ_BARBA,PQ_BARBA,OC_PQ_BARBA,P_PQ_BARBA,PQ_BARBA1,P_PQ_BARBA1,TEMPO,OC_TEMPO,P_TEMPO,FREQ,OC_FREQ,P_FREQ,SIGNIFICADO,OC_SIGNIFICADO,P_SIGNIFICADO,QUEM_COMPRA,OC_QUEM_COMPRA,P_QUEM_COMPRA,ONDE_COMPRA,OC_ONDE_COMPRA,P_ONDE_COMPRA,BARBEADOR,OC_BARBEADOR,P_BARBEADOR,SAIA,OC_SAIA,P_SAIA,TRANS,OC_TRANS,P_TRANS,LGBT_RUA,OC_LGBT_RUA,P_LGBT_RUA,SOCIAL,OC_SOCIAL,P_SOCIAL
,,,,,,,,,Opção 11,3,"0,03370786517",,,,Racionais MC's,23,"0,2584269663",,,,,,,Ter mulheres,0,0,,,,,,,,,,,,,,,,,,,Para mudar de visual de vez em quando.,1,"0,01123595506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Opção 12,15,"0,1685393258",,,,,,,,,,,,,Manter as condições financeiras da família,11,"0,1235955056",,,,,,,,,,,,,,,,,,,Não uso barba ,1,"0,01123595506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Coragem,33,"0,3707865169",,,,,,,,,,,,,,,,,,,Prefiro minha aparência sem barba,1,"0,01123595506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Atitude e iniciativa,33,"0,3707865169",,,,,,,,,,,,,,,,,,,Barba é falhada,1,"0,01123595506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Respeito,64,"0,7191011236",,,,,,,,,,,,,,,,,,,"Minha barba é muito rala, então deixo sem",1,"0,01123595506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Se cresce demais fica zoado,1,"0,01123595506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pra não ficar mais feio ainda HAHAHAHAH,1,"0,01123595506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prefiro minha aparência sem barba,1,"0,01123595506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barba falhada,1,"0,01123595506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,So tirar o bigode pq nao tenho barba,1,"0,01123595506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ela não preenche o rosto todo,1,"0,01123595506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Para ficar mais próximo daquilo que julgo ser a minha melhor versão estética e a que mais me agrada,1,"0,01123595506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
